image_id,image_path,manual_RBC,manual_WBC,manual_Platelets,system_RBC,system_WBC,system_Platelets
BloodImage_00103,D:\pbl-4-project-root\annotations\images\BloodImage_00103.jpeg,28,3,1,15,1,0
BloodImage_00132,D:\pbl-4-project-root\annotations\images\BloodImage_00132.jpeg,14,1,1,8,1,0
BloodImage_00135,D:\pbl-4-project-root\annotations\images\BloodImage_00135.jpeg,25,1,3,10,1,0
BloodImage_00136,D:\pbl-4-project-root\annotations\images\BloodImage_00136.jpeg,24,1,2,10,1,0
BloodImage_00137,D:\pbl-4-project-root\annotations\images\BloodImage_00137.jpeg,19,1,1,11,1,0
BloodImage_00149,D:\pbl-4-project-root\annotations\images\BloodImage_00149.jpeg,29,1,2,10,1,0
BloodImage_00157,D:\pbl-4-project-root\annotations\images\BloodImage_00157.jpeg,21,1,7,6,1,0
BloodImage_00161,D:\pbl-4-project-root\annotations\images\BloodImage_00161.jpeg,26,1,2,9,1,0
BloodImage_00167,D:\pbl-4-project-root\annotations\images\BloodImage_00167.jpeg,18,1,1,14,1,0
BloodImage_00169,D:\pbl-4-project-root\annotations\images\BloodImage_00169.jpeg,22,1,1,19,1,0
BloodImage_00171,D:\pbl-4-project-root\annotations\images\BloodImage_00171.jpeg,19,1,2,11,0,0
BloodImage_00172,D:\pbl-4-project-root\annotations\images\BloodImage_00172.jpeg,24,1,1,16,1,0
BloodImage_00178,D:\pbl-4-project-root\annotations\images\BloodImage_00178.jpeg,23,1,1,15,1,0
BloodImage_00180,D:\pbl-4-project-root\annotations\images\BloodImage_00180.jpeg,33,1,1,17,1,0
BloodImage_00184,D:\pbl-4-project-root\annotations\images\BloodImage_00184.jpeg,30,1,0,11,1,0
BloodImage_00205,D:\pbl-4-project-root\annotations\images\BloodImage_00205.jpeg,29,1,3,16,1,0
BloodImage_00208,D:\pbl-4-project-root\annotations\images\BloodImage_00208.jpeg,29,1,4,14,1,0
BloodImage_00220,D:\pbl-4-project-root\annotations\images\BloodImage_00220.jpeg,30,2,4,12,1,0
BloodImage_00225,D:\pbl-4-project-root\annotations\images\BloodImage_00225.jpeg,23,1,2,16,1,0
BloodImage_00226,D:\pbl-4-project-root\annotations\images\BloodImage_00226.jpeg,27,2,4,16,1,0
BloodImage_00227,D:\pbl-4-project-root\annotations\images\BloodImage_00227.jpeg,29,1,1,14,1,0
BloodImage_00229,D:\pbl-4-project-root\annotations\images\BloodImage_00229.jpeg,24,2,5,11,1,0
BloodImage_00233,D:\pbl-4-project-root\annotations\images\BloodImage_00233.jpeg,25,2,1,9,1,0
BloodImage_00234,D:\pbl-4-project-root\annotations\images\BloodImage_00234.jpeg,28,1,0,17,1,0
BloodImage_00249,D:\pbl-4-project-root\annotations\images\BloodImage_00249.jpeg,32,2,3,10,2,0
BloodImage_00253,D:\pbl-4-project-root\annotations\images\BloodImage_00253.jpeg,29,1,2,14,1,0
BloodImage_00271,D:\pbl-4-project-root\annotations\images\BloodImage_00271.jpeg,28,1,1,12,1,0
BloodImage_00282,D:\pbl-4-project-root\annotations\images\BloodImage_00282.jpeg,23,1,1,17,1,0
BloodImage_00284,D:\pbl-4-project-root\annotations\images\BloodImage_00284.jpeg,18,1,1,10,1,0
BloodImage_00287,D:\pbl-4-project-root\annotations\images\BloodImage_00287.jpeg,24,2,2,17,1,0
BloodImage_00290,D:\pbl-4-project-root\annotations\images\BloodImage_00290.jpeg,26,2,1,15,1,0
BloodImage_00293,D:\pbl-4-project-root\annotations\images\BloodImage_00293.jpeg,30,1,1,12,1,0
BloodImage_00296,D:\pbl-4-project-root\annotations\images\BloodImage_00296.jpeg,22,1,3,15,1,0
BloodImage_00303,D:\pbl-4-project-root\annotations\images\BloodImage_00303.jpeg,21,1,1,7,1,0
BloodImage_00319,D:\pbl-4-project-root\annotations\images\BloodImage_00319.jpeg,31,1,1,10,1,0
BloodImage_00320,D:\pbl-4-project-root\annotations\images\BloodImage_00320.jpeg,30,1,0,13,1,0
BloodImage_00323,D:\pbl-4-project-root\annotations\images\BloodImage_00323.jpeg,25,1,1,13,1,0
BloodImage_00327,D:\pbl-4-project-root\annotations\images\BloodImage_00327.jpeg,28,1,3,14,1,0
BloodImage_00333,D:\pbl-4-project-root\annotations\images\BloodImage_00333.jpeg,25,1,2,17,1,0
BloodImage_00341,D:\pbl-4-project-root\annotations\images\BloodImage_00341.jpeg,24,1,1,12,1,0
BloodImage_00346,D:\pbl-4-project-root\annotations\images\BloodImage_00346.jpeg,23,1,0,17,1,0
BloodImage_00360,D:\pbl-4-project-root\annotations\images\BloodImage_00360.jpeg,21,1,1,16,1,0
BloodImage_00365,D:\pbl-4-project-root\annotations\images\BloodImage_00365.jpeg,23,2,3,15,1,0
BloodImage_00366,D:\pbl-4-project-root\annotations\images\BloodImage_00366.jpeg,23,2,1,15,1,0
BloodImage_00375,D:\pbl-4-project-root\annotations\images\BloodImage_00375.jpeg,24,1,5,14,1,0
BloodImage_00385,D:\pbl-4-project-root\annotations\images\BloodImage_00385.jpeg,19,1,3,15,1,0
BloodImage_00390,D:\pbl-4-project-root\annotations\images\BloodImage_00390.jpeg,15,1,0,12,1,0
BloodImage_00391,D:\pbl-4-project-root\annotations\images\BloodImage_00391.jpeg,18,1,1,15,1,0
BloodImage_00407,D:\pbl-4-project-root\annotations\images\BloodImage_00407.jpeg,20,1,3,16,1,0
